Datetime,BTC-EUR_Open,BTC-EUR_High,BTC-EUR_Low,BTC-EUR_Close,BTC-EUR_Adj Close,BTC-EUR_Volume
2024-04-16,61748.65625,62753.171875,58671.12109375,59696.43359375,59696.43359375,41032259716
2024-04-17,59689.92578125,60616.796875,58076.4296875,60080.52734375,60080.52734375,40342061721
2024-04-18,60099.34375,60729.51953125,56185.28125,57433.48046875,57433.48046875,39286364669
2024-04-19,57432.1875,60151.75390625,56914.76953125,59676.96484375,59676.96484375,33831742410
2024-04-20,59675.08203125,61440.46484375,56170.07421875,59876.7109375,59876.7109375,46818669689
2024-04-21,59883.77734375,61376.2578125,59247.25,60956.07421875,60956.07421875,21662346331
2024-04-22,60954.5546875,61639.59375,60245.7734375,60919.2421875,60919.2421875,19240933719
2024-04-23,60927.67578125,63113.45703125,60496.6171875,62729.296875,62729.296875,26544206489
2024-04-24,62731.37890625,63032.95703125,61737.578125,62048.1640625,62048.1640625,22715154524
2024-04-25,62049.51953125,62655.83984375,59439.6796875,60072.16015625,60072.16015625,28296077449
2024-04-26,60070.40625,60831.46875,58749.97265625,60111.65234375,60111.65234375,29976524832
2024-04-27,60115.06640625,60560.90234375,59246.2734375,59615.05078125,59615.05078125,22571762071
2024-04-28,59611.0,59748.80078125,58370.859375,59289.60546875,59289.60546875,18259036101
2024-04-29,59293.69140625,60133.19140625,58665.86328125,58944.4765625,58944.4765625,16189827934
2024-04-30,58938.0625,59881.76953125,57772.57421875,59581.9609375,59581.9609375,24858897199
2024-05-01,59580.37109375,60387.8125,55395.80078125,56849.66015625,56849.66015625,35477414710
2024-05-02,56824.01171875,56993.875,53030.484375,54352.21484375,54352.21484375,45195332228
2024-05-03,54351.9296875,55570.62109375,53123.60546875,55099.96484375,55099.96484375,30485709223
2024-05-04,55098.91015625,58802.5859375,54857.69140625,58402.6484375,58402.6484375,30805199204
2024-05-05,58403.75390625,59893.2421875,58132.890625,59332.81640625,59332.81640625,19149206887
2024-05-06,59333.7265625,59975.96484375,58463.4453125,59517.3203125,59517.3203125,17006394964
2024-05-07,59523.99609375,60813.45703125,58253.734375,58643.46875,58643.46875,26644936274
2024-05-08,58644.2265625,59816.3515625,57941.53125,57986.96484375,57986.96484375,24122062496
2024-05-09,57984.94140625,58638.59765625,56641.48046875,56935.68359375,56935.68359375,24275174693
2024-05-10,56938.71875,58792.4609375,56521.27734375,58478.08203125,58478.08203125,23607665704
2024-05-11,58482.93359375,58856.87890625,55880.79296875,56400.5,56400.5,25796046718
2024-05-12,56401.03515625,57011.30859375,56122.03125,56401.36328125,56401.36328125,12842168746
2024-05-13,56401.171875,57303.453125,56204.48046875,57054.28125,57054.28125,12813602353
2024-05-14,57056.90234375,58734.6484375,56426.62109375,58284.734375,58284.734375,25842226838
2024-05-15,58284.109375,58490.94140625,56532.76171875,56919.58984375,56919.58984375,26064634497
2024-05-16,56920.69921875,61030.4375,56706.09765625,60860.92578125,60860.92578125,36566767037
2024-05-17,60850.47265625,61380.83984375,59442.71875,60022.12109375,60022.12109375,29051620412
2024-05-18,60021.86328125,62074.77734375,59967.203125,61630.73046875,61630.73046875,25764950378
2024-05-19,61643.90625,61939.06640625,61273.75390625,61528.640625,61528.640625,15361089778
2024-05-20,61526.0,62143.09375,60640.24609375,60959.59765625,60959.59765625,17704373950
2024-05-21,60959.94140625,65831.5,60778.59375,65787.640625,65787.640625,40376543667
2024-05-22,65782.9140625,66252.1171875,63734.50390625,64618.2578125,64618.2578125,43239442691
2024-05-23,64617.140625,65168.71875,63721.453125,63852.8671875,63852.8671875,30301891227
2024-05-24,63851.91015625,64533.0859375,61384.23046875,62830.56640625,62830.56640625,38750865478
2024-05-25,62829.2421875,63803.390625,61568.40625,63137.34375,63137.34375,26901290234
2024-05-26,63138.1015625,64137.24609375,63127.87109375,63848.375,63848.375,14262860908
2024-05-27,63846.84765625,64069.8671875,62870.390625,63159.015625,63159.015625,14406071421
2024-05-28,63153.5703125,64998.265625,62826.3046875,63889.5546875,63889.5546875,23818670894
2024-05-29,63887.3828125,63950.6171875,61920.109375,62938.31640625,62938.31640625,30155171478
2024-05-30,62938.4296875,63456.359375,62116.92578125,62565.28515625,62565.28515625,24725995652
2024-05-31,62563.4296875,64113.765625,62089.7265625,63117.359375,63117.359375,27244576509
2024-06-01,63115.078125,63479.875,61443.2734375,62161.078125,62161.078125,25224290872
2024-06-02,62159.41796875,62487.6875,62064.171875,62365.33203125,62365.33203125,10723063091
2024-06-03,62368.40625,63012.16015625,62034.82421875,62428.62890625,62428.62890625,15766277926
2024-06-04,62430.7421875,64715.6640625,62274.9765625,63082.28515625,63082.28515625,29706470423
2024-06-05,63082.08984375,65270.68359375,63059.17578125,64847.828125,64847.828125,30462714742
2024-06-06,64848.36328125,66078.859375,64785.8515625,65369.96875,65369.96875,30173802522
2024-06-07,65369.984375,65801.921875,64382.1875,64964.20703125,64964.20703125,23158107329
2024-06-08,64966.05859375,66006.15625,63426.625,64162.6953125,64162.6953125,33485109028
2024-06-09,64145.66015625,64339.1796875,64040.69921875,64128.6328125,64128.6328125,13196800577
2024-06-10,64120.97265625,64652.76953125,63994.52734375,64615.578125,64615.578125,12556127271
2024-06-11,64612.1640625,65268.8828125,64397.234375,64581.7734375,64581.7734375,19136704712
2024-06-12,64577.87109375,64622.05078125,61623.625,62692.3828125,62692.3828125,34558574738
2024-06-13,62682.4609375,64536.19921875,62294.8828125,63109.58203125,63109.58203125,31903764550
2024-06-14,63111.359375,63225.6328125,61666.09765625,62171.3671875,62171.3671875,26966473859
2024-06-15,62163.14453125,63043.3125,60794.69140625,61562.5390625,61562.5390625,25557109580
2024-06-16,61558.48046875,61956.76171875,61461.859375,61759.7109375,61759.7109375,13175889209
2024-06-17,61758.1796875,62487.20703125,61598.52734375,62264.92578125,62264.92578125,12409379757
2024-06-18,62262.5625,62610.0390625,60744.66796875,61908.9140625,61908.9140625,27938826633
2024-06-19,61909.55078125,61970.7421875,59664.01953125,60660.36328125,60660.36328125,36765763102
2024-06-20,60665.87109375,61182.7421875,60207.53515625,60443.9296875,60443.9296875,19636207985
